Time,card_11_avg_CPU,card_12_avg_CPU,card_13_avg_CPU,card_14_avg_CPU,card_15_avg_CPU,card_16_avg_CPU,card_17_avg_CPU
03/01/2017 16:02,11.0625,9.375,10.9375,11.0625,9.1875,9.0625,9.25
03/01/2017 16:03,10.875,9.25,10.6875,11.5,9.4375,9,9
03/01/2017 16:04,10.875,9.125,10.75,11.1875,9.125,9.1875,9.375
03/01/2017 16:05,10.6875,9.5,10.75,11.6875,9.3125,9.0625,9.0625
03/01/2017 16:06,11.0625,9.25,10.9375,11.0625,9.3125,9.1875,9.125
03/01/2017 16:07,10.9375,9.375,10.5625,11.625,9.25,8.875,8.9375
03/01/2017 16:08,11,9,11,10.9375,9.1875,9.375,9
03/01/2017 16:09,10.8125,9.5625,10.8125,11.625,9.1875,8.625,8.9375
03/01/2017 16:10,11,9.1875,11,11.1875,9.375,9.25,9.1875
03/01/2017 16:11,10.625,9.375,10.5,11.5,8.9375,9.0625,9.25
03/01/2017 16:12,10.8125,9.125,10.625,11.1875,9.3125,9.25,8.9375
03/01/2017 16:13,10.8125,9.125,10.625,11.1875,9.3125,9.25,8.9375
03/01/2017 16:14,11,9.3125,10.5,11.4375,9.125,9.0625,9.1875
03/01/2017 16:15,11,9.25,10.75,11.1875,9.375,9.0625,8.8125
03/01/2017 16:16,10.9375,9.3125,10.5625,11.4375,9.25,9.125,9.1875
03/01/2017 16:17,11.0625,9.4375,10.875,11.0625,9.4375,9.0625,9
03/01/2017 16:18,10.9375,9.3125,10.625,11.5625,9.375,9.125,9
03/01/2017 16:19,10.9375,9.4375,10.75,11.3125,9.0625,9,9.3125
03/01/2017 16:20,11.125,9.125,10.5625,11.4375,9.3125,9.3125,9.0625
03/01/2017 16:21,10.875,9.5625,10.875,11,9.25,8.9375,9.3125
03/01/2017 16:22,11.0625,9.3125,10.6875,11.3125,9.5,9.25,9.125
03/01/2017 16:23,10.875,9.5625,10.875,11.1875,9.125,8.875,9.1875
03/01/2017 16:24,10.75,9.4375,10.625,11.4375,9.375,9.125,9.0625
03/01/2017 16:25,11,9.375,10.9375,11.375,9.3125,9.25,9.0625
03/01/2017 16:26,10.9375,9.3125,10.5625,11.5625,9.25,9.1875,9.3125
03/01/2017 16:27,10.9375,9.3125,10.5625,11.5625,9.25,9.1875,9.3125
03/01/2017 16:28,11,9.1875,11.125,11.3125,9.375,9.3125,9.125
03/01/2017 16:29,11.3125,9.4375,10.75,11.6875,9.25,9.1875,9.3125
03/01/2017 16:30,10.9375,9.25,10.8125,11.375,9.5625,9.4375,9.0625
03/01/2017 16:31,11.4375,9.8125,11.125,11.8125,9.1875,9.1875,9.4375
03/01/2017 16:32,10.9375,9.5,11.25,11.625,9.5625,9.3125,9.1875
03/01/2017 16:33,11.125,9.625,10.75,11.625,9.3125,8.8125,9.375
03/01/2017 16:34,10.875,9.375,10.8125,11.3125,9.25,9.3125,9.25
03/01/2017 16:35,11.3125,9.5625,10.875,11.6875,9.25,9.1875,9.3125
03/01/2017 16:36,11.0625,9.5,11.125,11.25,9.3125,9.375,9.4375
03/01/2017 16:37,11.375,9.625,11,11.5,9.75,9.25,9
03/01/2017 16:38,11,9.9375,11.125,11.375,9.5,9.3125,9.5625
03/01/2017 16:39,11.3125,10.0625,11,11.625,9.625,9.375,9.25
03/01/2017 16:40,11.125,9.8125,11.0625,11.8125,9.4375,9.4375,9.375
03/01/2017 16:41,11.125,9.8125,11.0625,11.8125,9.4375,9.4375,9.375
03/01/2017 16:42,11.1875,9.9375,11.0625,11.8125,9.6875,9.375,9.3125
03/01/2017 16:43,11.25,9.875,11,11.75,9.3125,9.1875,9.4375
03/01/2017 16:44,11.3125,9.8125,11.125,11.8125,9.4375,9.625,9.5625
03/01/2017 16:45,11.0625,9.75,11.0625,11.4375,9.625,9.5625,9.25
03/01/2017 16:46,11.5,9.625,11.0625,11.6875,9.5625,9.3125,9.5625
03/01/2017 16:47,10.9375,9.75,11.125,11.4375,9.6875,9.1875,9.125
03/01/2017 16:48,11.4375,9.5625,11.1875,11.625,9.5,9.375,9.5
03/01/2017 16:49,11,9.75,10.9375,11.4375,9.6875,9.3125,9.375
03/01/2017 16:50,11.3125,9.5,11.3125,11.875,9.6875,9.25,9.625
03/01/2017 16:51,11,9.5625,10.9375,11.5,9.875,9.3125,9.25
03/01/2017 16:52,11.3125,9.4375,11.375,11.875,9.75,9.3125,9.3125
03/01/2017 16:53,11.1875,9.75,10.9375,11.6875,10.0625,9.3125,9.625
03/01/2017 16:54,11.4375,9.75,11.375,11.9375,9.75,9.1875,9.1875
03/01/2017 16:55,11.4375,9.75,11.375,11.9375,9.75,9.1875,9.1875
03/01/2017 16:56,10.875,9.625,11.0625,11.8125,9.875,9.5625,9.5625
03/01/2017 16:57,11.375,9.6875,11.25,11.875,9.8125,9.25,9.375
03/01/2017 16:58,10.875,9.75,10.9375,11.4375,9.875,9.5625,9.75
03/01/2017 16:59,11.4375,9.6875,11.1875,12,9.875,9.375,9.5
03/01/2017 17:00,11.0625,9.5,11.125,11.8125,9.625,9.25,9.6875
03/01/2017 17:01,9.8125,8.875,10.125,10.625,8.75,8.4375,8.6875
03/01/2017 17:02,8.75,7.75,9,9.5,7.8125,7.75,7.5
03/01/2017 17:03,9.1875,7.75,8.75,9.3125,7.5,7.5625,7.625
03/01/2017 17:04,8.5625,7.75,8.875,9.5625,8,7.5625,7.6875
